batchID,arrival,departure,dateArr,dateDep
B01,Malmi,Messukeskus,2021-02-24,2021-02-24
B01,Tapiola Health Center,Malmi,2021-03-01,2021-03-01
B01,Sanomala Vaccination Point,Tapiola Health Center,2021-04-30,2021-04-30
B02,Sanomala Vaccination Point,Messukeskus,2021-04-24,2021-04-24
B03,Malmi,Messukeskus,2021-03-10,2021-03-10
B03,Iso Omena Vaccination Point,Malmi,2021-03-15,2021-03-15
B03,Sanomala Vaccination Point,Iso Omena Vaccination Point,2021-04-15,2021-04-15
B03,Myyrmäki Energia Areena,Sanomala Vaccination Point,2021-05-01,2021-05-01
B04,Malmi,Messukeskus,2021-03-20,2021-03-20
B06,Tapiola Health Center,Messukeskus,2021-01-30,2021-01-30
B06,Iso Omena Vaccination Point,Tapiola Health Center,2021-02-02,2021-02-02
B06,Myyrmäki Energia Areena,Iso Omena Vaccination Point,2021-02-05,2021-02-05
B07,Malmi,Messukeskus,2021-04-10,2021-04-10
B07,Myyrmäki Energia Areena,Malmi,2021-04-15,2021-04-15
B08,Tapiola Health Center,Messukeskus,2021-03-14,2021-03-14
B12,Sanomala Vaccination Point,Messukeskus,2021-02-24,2021-02-24
B12,Iso Omena Vaccination Point,Sanomala Vaccination Point,2021-03-25,2021-03-25
B12,Sanomala Vaccination Point,Iso Omena Vaccination Point,2021-03-30,2021-03-30
B13,Malmi,Messukeskus,2021-02-21,2021-02-21
B13,Myyrmäki Energia Areena,Malmi,2021-02-28,2021-02-28
B13,Sanomala Vaccination Point,Myyrmäki Energia Areena,2021-03-05,2021-03-05
B13,Iso Omena Vaccination Point,Sanomala Vaccination Point,2021-03-07,2021-03-07
B15,Malmi,Messukeskus,2021-04-01,2021-04-01
B16,Tapiola Health Center,Messukeskus,2021-04-10,2021-04-10
B17,Tapiola Health Center,Messukeskus,2021-04-01,2021-04-01
B17,Sanomala Vaccination Point,Tapiola Health Center,2021-04-27,2021-04-27
B17,Myyrmäki Energia Areena,Sanomala Vaccination Point,2021-05-04,2021-05-04
B18,Tapiola Health Center,Messukeskus,2021-04-08,2021-04-08
B21,Malmi,Messukeskus,2021-04-19,2021-04-19
B21,Myyrmäki Energia Areena,Malmi,2021-04-25,2021-04-25
B21,Iso Omena Vaccination Point,Myyrmäki Energia Areena,2021-04-28,2021-04-28
B22,Malmi,Messukeskus,2021-04-09,2021-04-09
B22,Sanomala Vaccination Point,Malmi,2021-04-20,2021-04-20
B22,Myyrmäki Energia Areena,Sanomala Vaccination Point,2021-04-25,2021-04-25
B23,Sanomala Vaccination Point,Messukeskus,2021-04-15,2021-04-15
B24,Iso Omena Vaccination Point,Messukeskus,2021-05-01,2021-05-01
B24,Malmi,Iso Omena Vaccination Point,2021-05-05,2021-05-05
B25,Malmi,Messukeskus,2021-01-28,2021-01-28
B27,Malmi,Messukeskus,2021-01-28,2021-01-28
B27,Tapiola Health Center,Malmi,2021-01-31,2021-01-31
B27,Myyrmäki Energia Areena,Tapiola Health Center,2021-02-06,2021-02-06
B28,Sanomala Vaccination Point,Messukeskus,2021-02-24,2021-02-24
B28,Iso Omena Vaccination Point,Sanomala Vaccination Point,2021-02-28,2021-02-28
B29,Iso Omena Vaccination Point,Messukeskus,2021-03-10,2021-03-10
B29,Myyrmäki Energia Areena,Iso Omena Vaccination Point,2021-04-12,2021-04-12
B29,Sanomala Vaccination Point,Myyrmäki Energia Areena,2021-04-20,2021-04-20
B30,Malmi,Messukeskus,2021-04-30,2021-04-30
B30,Myyrmäki Energia Areena,Malmi,2021-05-04,2021-05-04
B30,Sanomala Vaccination Point,Myyrmäki Energia Areena,2021-05-07,2021-05-07
B30,Iso Omena Vaccination Point,Sanomala Vaccination Point,2021-05-09,2021-05-09
